
Epoch 780/1000, Train Loss: 0.18184851512312888, Val Loss: 0.17257840931415558, Train Acc: 0.91625, Val Acc: 0.8999999761581421
Epoch 790/1000, Train Loss: 0.1839175432920456, Val Loss: 0.17874787747859955, Train Acc: 0.92125, Val Acc: 0.9049999713897705
Epoch 800/1000, Train Loss: 0.167347382158041, Val Loss: 0.1733059138059616, Train Acc: 0.92375, Val Acc: 0.9049999713897705
Epoch 810/1000, Train Loss: 0.20904409438371657, Val Loss: 0.18309234082698822, Train Acc: 0.89875, Val Acc: 0.9049999713897705
Epoch 820/1000, Train Loss: 0.21639363557100297, Val Loss: 0.17966966331005096, Train Acc: 0.9025, Val Acc: 0.9049999713897705
Epoch 830/1000, Train Loss: 0.18953418463468552, Val Loss: 0.17609983682632446, Train Acc: 0.91375, Val Acc: 0.8949999809265137
Epoch 840/1000, Train Loss: 0.17550957515835763, Val Loss: 0.17658253014087677, Train Acc: 0.91625, Val Acc: 0.8949999809265137
Epoch 850/1000, Train Loss: 0.15773847311735154, Val Loss: 0.17734630405902863, Train Acc: 0.925, Val Acc: 0.9049999713897705
Epoch 860/1000, Train Loss: 0.18287577703595162, Val Loss: 0.183476984500885, Train Acc: 0.9225, Val Acc: 0.8999999761581421
Epoch 870/1000, Train Loss: 0.17696966782212256, Val Loss: 0.17616115510463715, Train Acc: 0.915, Val Acc: 0.8999999761581421
Epoch 880/1000, Train Loss: 0.17871867507696151, Val Loss: 0.1742458939552307, Train Acc: 0.9075, Val Acc: 0.9049999713897705
Epoch 890/1000, Train Loss: 0.18331380922347307, Val Loss: 0.17276598513126373, Train Acc: 0.9125, Val Acc: 0.8999999761581421
Epoch 900/1000, Train Loss: 0.1690442119538784, Val Loss: 0.17204496264457703, Train Acc: 0.92, Val Acc: 0.9049999713897705
Epoch 910/1000, Train Loss: 0.18317376613616942, Val Loss: 0.168463796377182, Train Acc: 0.91, Val Acc: 0.9100000262260437
Epoch 920/1000, Train Loss: 0.18404446840286254, Val Loss: 0.17303676903247833, Train Acc: 0.92, Val Acc: 0.9150000214576721
Epoch 930/1000, Train Loss: 0.18194981873035432, Val Loss: 0.17596428096294403, Train Acc: 0.9075, Val Acc: 0.9049999713897705
Epoch 940/1000, Train Loss: 0.17865532740950585, Val Loss: 0.1783415973186493, Train Acc: 0.9025, Val Acc: 0.8999999761581421
Epoch 950/1000, Train Loss: 0.16882843852043153, Val Loss: 0.1792071908712387, Train Acc: 0.91875, Val Acc: 0.9049999713897705
Epoch 960/1000, Train Loss: 0.18554157838225366, Val Loss: 0.17736278474330902, Train Acc: 0.91, Val Acc: 0.9049999713897705
Epoch 970/1000, Train Loss: 0.17847564071416855, Val Loss: 0.17237389087677002, Train Acc: 0.9175, Val Acc: 0.9100000262260437
Epoch 980/1000, Train Loss: 0.1790500210225582, Val Loss: 0.19382576644420624, Train Acc: 0.91, Val Acc: 0.8999999761581421
Epoch 990/1000, Train Loss: 0.17647067561745644, Val Loss: 0.17914338409900665, Train Acc: 0.90875, Val Acc: 0.9049999713897705
